# ID	xc	yc	mag	emag	col	ecol
 613	33	743	23.31	0.03	3.63	0.41
 618	393	741	21.72	0.01	1.35	0.02
 621	450	658	24.63	0.08	2.13	0.28
 623	155	704	23.71	0.04	2.7	0.21
 624	334	720	23.76	0.06	1.12	0.09
 625	466	720	24.11	0.07	1.92	0.19
 628	438	714	22.19	0.02	1.64	0.04
 630	594	710	21.68	0.02	2.26	0.05
 631	128	701	24.85	0.1	1.87	0.29
 633	1	707	22.62	0.02	2.35	0.09
 637	266	691	23.69	0.03	2.29	0.13
 641	92	685	24.88	0.15	2.2	0.48
 643	533	687	22.78	0.04	1.07	0.07
 647	319	675	22.78	0.03	1.01	0.04
 649	428	666	23.28	0.04	1.06	0.06
 650	191	694	19.46	0.01	2.48	0.02
 651	206	654	24.33	0.06	2.38	0.23
 653	635	664	19.84	0.01	2.38	0.01
 655	166	647	21.56	0.01	2.38	0.03
 657	139	637	23.06	0.02	2.39	0.09
 659	491	642	19.95	0.01	2.44	0.01
 662	550	618	24.77	0.07	1.96	0.26
 663	612	618	24.96	0.11	1.96	0.31
 665	35	614	23.94	0.06	0.55	0.07
 666	567	613	23.84	0.05	0.68	0.06
 668	81	607	23.92	0.07	0.42	0.08
 671	488	603	21.23	0.01	2.44	0.03
 672	265	594	24.85	0.09	1.64	0.23
 674	310	590	24.72	0.11	1.91	0.25
 676	672	587	25.0	0.11	0.81	0.15
 677	185	594	20.86	0.01	1.45	0.02
 680	440	580	24.35	0.06	1.9	0.17
 681	451	580	23.19	0.04	1.14	0.05
 682	324	575	24.93	0.12	2.12	0.35
 683	274	574	24.54	0.11	1.99	0.31
 684	688	574	23.66	0.04	1.06	0.06
 686	328	559	23.25	0.04	2.05	0.11
 688	522	550	23.26	0.03	2.21	0.09
 689	544	547	23.16	0.04	2.09	0.1
 690	618	552	22.12	0.02	2.31	0.05
 691	94	542	22.59	0.02	2.57	0.08
 693	248	545	21.15	0.01	2.48	0.03
 694	720	546	21.38	0.01	1.31	0.02
 695	333	532	24.42	0.1	1.9	0.21
 697	470	531	21.61	0.01	2.44	0.04
 698	510	531	24.23	0.11	1.09	0.15
 699	522	530	23.28	0.08	1.21	0.13
 704	404	512	24.39	0.08	0.96	0.1
 705	199	509	22.85	0.03	1.3	0.04
 707	516	503	23.61	0.04	2.4	0.16
 708	699	504	23.92	0.08	2.23	0.21
 710	329	504	21.95	0.01	2.36	0.04
 711	656	492	24.71	0.11	0.69	0.15
 713	57	488	24.21	0.08	2.21	0.26
 714	416	503	21.39	0.01	1.99	0.03
 716	613	502	20.6	0.01	2.42	0.02
 718	276	493	21.15	0.02	2.02	0.06
 719	311	475	24.14	0.07	2.19	0.2
 721	47	470	22.85	0.03	2.32	0.09
 722	367	466	24.97	0.12	1.25	0.2
 724	144	538	19.07	0.0	2.58	0.02
 725	120	487	19.12	0.0	2.53	0.02
 726	687	473	20.83	0.01	2.32	0.02
 727	168	459	23.03	0.03	2.46	0.11
 728	279	456	23.73	0.05	2.18	0.15
 729	10	450	24.27	0.1	2.4	0.65
 730	613	448	24.54	0.07	3.78	1.05
 732	513	460	20.01	0.01	2.4	0.02
 736	206	434	24.96	0.15	1.52	0.31
 739	33	433	22.18	0.01	2.46	0.05
 740	643	427	24.89	0.1	1.71	0.23
 741	57	423	24.05	0.06	1.49	0.12
 743	621	422	22.44	0.02	1.4	0.04
 744	227	413	24.73	0.1	1.62	0.22
 745	93	436	20.34	0.01	2.52	0.02
 746	89	414	22.27	0.02	2.42	0.05
 747	599	412	23.6	0.04	2.39	0.17
 748	643	413	22.9	0.03	2.1	0.09
 753	173	402	23.26	0.04	1.95	0.1
 755	703	399	24.47	0.08	0.67	0.1
 757	716	397	24.9	0.17	1.82	0.38
 758	352	394	24.91	0.11	3.04	0.89
 759	14	394	22.08	0.01	2.35	0.05
 760	108	396	21.11	0.01	2.51	0.03
 761	686	393	22.84	0.04	1.49	0.07
 762	540	434	21.1	0.01	2.34	0.03
 763	548	409	19.62	0.01	2.46	0.02
 764	452	386	23.07	0.03	1.98	0.08
 767	81	382	22.78	0.03	2.23	0.07
 770	18	375	24.13	0.1	1.8	0.24
 771	653	372	23.59	0.04	0.61	0.05
 772	308	376	21.95	0.02	0.97	0.04
 775	592	365	21.84	0.01	1.49	0.02
 776	222	368	21.2	0.01	2.33	0.03
 777	560	359	22.92	0.03	2.36	0.09
 778	672	354	22.68	0.02	2.25	0.07
 780	322	348	24.35	0.07	2.18	0.25
 782	699	345	24.02	0.06	1.13	0.1
 783	364	334	24.23	0.09	1.54	0.16
 784	361	344	23.58	0.13	1.19	0.18
 786	80	349	21.27	0.01	2.27	0.03
 787	64	339	21.99	0.02	2.26	0.05
 789	393	328	24.41	0.09	1.61	0.18
 791	290	321	24.32	0.08	1.99	0.25
 792	172	315	24.84	0.14	2.33	0.51
 794	477	319	21.27	0.01	2.34	0.03
 797	494	306	24.06	0.08	0.62	0.07
 798	240	302	23.25	0.04	2.18	0.11
 799	72	297	24.98	0.09	2.3	0.37
 802	365	306	20.9	0.01	2.41	0.03
 803	515	299	22.24	0.02	0.88	0.03
 804	129	294	23.38	0.04	2.3	0.12
 807	55	292	23.21	0.04	1.03	0.05
 809	586	297	20.67	0.01	2.06	0.02
 811	6	269	24.24	0.1	1.68	0.57
 815	154	274	19.96	0.01	2.46	0.01
 817	609	250	22.8	0.03	2.77	0.11
 818	591	244	24.14	0.06	1.39	0.11
 820	487	240	21.04	0.01	1.78	0.01
 822	249	244	20.96	0.01	2.32	0.02
 823	262	244	20.35	0.01	2.39	0.02
 825	93	228	23.14	0.07	1.73	0.14
 826	26	233	21.2	0.01	2.33	0.03
 827	552	244	22.25	0.02	2.26	0.05
 828	547	232	21.13	0.01	2.39	0.03
 830	499	212	23.11	0.04	1.44	0.06
 832	443	228	24.25	0.07	2.03	0.21
 833	434	215	22.57	0.03	2.2	0.08
 834	347	205	24.94	0.14	1.33	0.23
 835	466	205	24.0	0.06	2.03	0.16
 841	3	197	22.94	0.03	2.17	0.1
 842	733	205	20.82	0.01	1.83	0.03
 843	124	200	20.27	0.01	2.37	0.02
 845	451	184	23.66	0.06	0.92	0.07
 847	300	174	23.45	0.03	1.96	0.09
 848	406	179	21.5	0.01	2.26	0.04
 849	507	168	24.51	0.07	1.7	0.18
 850	344	183	20.97	0.01	2.43	0.03
 851	371	164	24.11	0.06	1.51	0.11
 852	674	163	24.21	0.06	1.15	0.1
 853	278	162	24.02	0.04	1.22	0.08
 857	367	143	23.69	0.07	1.08	0.1
 859	167	143	21.95	0.02	1.36	0.03
 860	577	160	22.25	0.04	1.19	0.06
 861	576	140	23.81	0.06	0.93	0.08
 862	76	144	19.51	0.0	2.79	0.01
 864	610	127	24.4	0.06	1.2	0.12
 865	254	137	21.41	0.01	1.97	0.03
 866	7	131	21.55	0.01	1.98	0.03
 867	269	118	24.4	0.07	1.85	0.18
 869	430	124	22.45	0.02	2.26	0.06
 871	194	103	23.34	0.05	2.15	0.15
 873	292	97	24.21	0.1	0.35	0.1
 874	25	96	23.71	0.06	2.26	0.21
 876	382	93	22.38	0.02	2.21	0.06
