#mag	emag	col	ecol
22.25	0.04	1.19	0.06
23.81	0.06	0.93	0.08
22.31	0.03	1.39	0.04
24.00	0.06	0.86	0.09
24.40	0.06	1.20	0.12
24.21	0.06	1.15	0.10
24.02	0.06	1.13	0.10
24.47	0.08	0.67	0.10
22.84	0.04	1.49	0.07
23.59	0.04	0.61	0.05
21.38	0.01	1.31	0.02
23.66	0.04	1.06	0.06
25.00	0.11	0.81	0.15
24.71	0.11	0.69	0.15
22.24	0.02	0.88	0.03
24.06	0.08	0.62	0.07
23.66	0.06	0.92	0.07
21.19	0.01	1.75	0.04
22.65	0.03	1.18	0.04
24.21	0.10	0.35	0.10
21.95	0.02	1.36	0.03
21.95	0.02	0.97	0.04
23.58	0.13	1.19	0.18
22.78	0.03	1.01	0.04
23.76	0.06	1.12	0.09
23.28	0.04	1.06	0.06
22.78	0.04	1.07	0.07
23.19	0.04	1.14	0.05
23.28	0.08	1.21	0.13
23.92	0.07	0.42	0.08
23.94	0.06	0.55	0.07
22.85	0.03	1.30	0.04
23.21	0.04	1.03	0.05
21.72	0.01	1.35	0.02
23.84	0.05	0.68	0.06
24.39	0.08	0.96	0.10
24.14	0.06	1.39	0.11
23.69	0.07	1.08	0.10
24.92	0.08	0.75	0.14
23.11	0.04	1.44	0.06
24.02	0.04	1.22	0.08
24.87	0.10	1.42	0.22
24.97	0.12	1.25	0.20
24.94	0.14	1.33	0.23
